content,score
This App is good👌👌,5
Your ai is worst,1
Best AI ever. Puts ebery other one to shame. To bad Big AI got embaressed and made banned it.,5
good app but sometimes when needed it's keeps showing server is busy,2
No live talk feature 😓 Please provide us live talk feature like in chatgpt,2
Wow fantastic,5
Please fix server is.busy,4
"I didn't opened the app yet, but i could say few things when I find copilot or chatgbt or any other I was impressed and when I intentend to use them most of them operate little with free subscription. This one is by far the most advanced user friendly and free app 👍",5
Not usefully every time say server is busy please tray Again letter,1
Servers are always busy oafter update,1
Love this apk,5
Very slow,1
Deepseek is definitely better than chatgpt and gemini.,5
I love her❤️,5
Worst ai,1
It's wonderful ai l have ever use and it's much much better than other ai's. I would recommend to all students to go with it as it's incredible.,5
99% of time see er is busy.. No one can work like this . Ultimately proving to be useless.,2
Nice and helpful but only concerning is crashed repeatedly,4
Love you China from Pakistan Despite old chips such annovation is a Brand. But no doubt that server issue is a point for improvement,5
Could be 5 stars but most of the time server is busy.,2
"Deep Seek AI is an amazing tool with fast, accurate, and intelligent responses! 🤖💡 It’s user-friendly 🎯 and great for research, content creation ✍🏻, and problem-solving. The AI adapts well and delivers high-quality results 📚⚡. Whether for work or learning, it’s a must-try! Highly recommended! ⭐⭐⭐⭐⭐",5
Very bad,1
Bad App Errors and bug 😔 After 3 or four questions This Can't Gave The Answer So That's why I am Giving this 1 star Only Xit App,1
ChatGPT'den daha iyi dediler diye indirdim bunda da çok yavaş ilerliyor yüklemeler bir de sürekli error veriyor bunlar düzeltilirse hiçbir sıkıntı kalmaz,4
there are some problem when uploading screenshot to take out data most of it failed to upload,3
Good nice 👍,5
The server is busy. Please try again later. All the time 😀,2
"Nothing can compete with open AI chat GPT , this is not able to understand what user wants",1
Good,3
Sometimes it is loading too much time chat gpt is better than this.I think no answer for it,2
Good AI App but want strong signal 🚦,5
Amazing Ai perfect for everything,5
R1 was better. This 3rd veson is full of nonsensical emojies and limbows.,1
"Always Saying ""The server is busy. Please try again later."" What happen Deepseek!?",1
"Pros: Free to use, advanced AI models, seamless cross-platform sync, insightful Deep-Think Mode, file upload & text extraction, multi-language support. Cons: Occasional server delays, privacy concerns with user data collection, lacks some advanced feature like and voice interaction. Overall, the DeepSeek App offers great value with its powerful features and accessibility, but users should be aware of potential privacy issues and occasional server performance.",4
The servers are always busy,1
"This is the best ai in my list it's the first in the list better than chatgpt. but I would like deepseek ai to have like remember memory something like that like for example I tell it my name it will still know my name in another chat. and I would like cool animations too like when deleting a chat or renaming it. otherwise the app is nice. and cool 😎. but please fix the ""server is busy please try again later"" error please. and also have image generation good as bing ai. thanks 👍",5
👍👍,5
"This app was good at first. Now, it will only work for 1 prompt. After that, it will go to server busy. It's not very helpful if you need more than 1 turn. At this time, it still has some usefulness. If you need more, look someplace else.",2
Awesome,5
Poor results. Server go busy often. Also the answers aren't appropriate,1
Server busy I'm facing all time,1
"DeepSeek AI stands out as a robust tool for uncovering insights within large datasets. Its intuitive interface and powerful search algorithms deliver fast, accurate results that cater to both beginners and experienced users. While there's some room for improvement in customization and integration options, its overall performance makes it a valuable asset for data-driven projects.",4
Awesome ai,5
Excellent app,5
Gpt is also good and faster than deepseek,1
Not accurate,1
"Ask some question get error message ""The server is busy. Please try again later."" 😂 back to ChatGPT I guess.",1
Its a best aap for study,4
Wow This is a very useful app,5
best,5
Good,5
This is the first AI model that can solve complex structural engineering problems. Thanks to its reasoning capability.,5
Absolutely love this app,5
Very good 🥰🥰,5
"this is the best app I've ever used , it's really helping me to improve my English",5
Nice ai app,5
Good,5
I'm waiting for the new update,5
"This app is totally useless. It can't solve physics problems. It can't recognise languages and takes too much time for processing. When the answers are wrong and you want to correct it only says ""Server is busy"". I can't understand what the hype about this app was ? Totally a waste of time 😡",1
Excellent assistant,5
VERY GOOOD HELPED ME WITH MATHS SO MUCH,5
"So fast and sophisticated results....it is revolutionary app in AI so far.....salute to Deepseek!!!,🥰",5
Even though I loved how much it's outperforming and it's results are very well gathered basically better than openai at some points even though it's all going to zero if I can't even have a 5 messages conversation without it showing me the server is busy problem. I've been trying to stay patient for a long time understanding maybe it's because the app is gaining reconnaissance but if you can't even fix such problem for a long time then other models might!,1
Your server is too much busy please solve it like chatgpt please. Because many people's are now liking deepseek. So expand your server we need deepseek,3
"On feedback quality, the responses are unreal. However, I have to ""refresh"" every response several times to due to server being busy.",3
Worest always sucks,1
Good,5
"Hi this app is outstanding this app is better then all AI apps of America Google,s Gemini Facebook meta is fail against Deep seek ALLAH PAKISTAN KO BHI ASI TARAKI KARNE KI TOFIK ATA FARMAE AMEEN",5
Good AI,5
Always server is busy I don't know why,3
Heaven for students,5
"When I ask something, always says, *The server is busy. Please try again later.*",1
I seen server is busy issue,1
Amazing app really detailed responses and beautifully structured paragraphs however when I type something it will just stop responding and say server busy please try again later. Please fix that .,4
"Very unstable, it always pop out ‘’ busy server , try later‘’ and pls contact the operator",3
It's really amazing 😍😍😍😍😍😍😍😍,5
Great for scholarly research. The best AI helper. Gathering from all sorts of online sources relevant information for thesis and other research studies. Recommendable for those doing thesis and who need to gather as much information possible in the least amount of time available; all gathered for you in a neat summary you can copy and the paste in a word processing text. We are gladly acknowledging DeepSeek in the references/sources section of any written work using DeepSeek.,5
Beeter,5
The server is busy sometimes. Please check Privacy Policy. Your data is always being sent to China.,1
It's very good,5
I downloaded the app and everytime I try to register it tells me that my email address is already registered (which is not true) then it tells me that the code is no longer valid. Repeated several times and I gave up. Too much hype and too much work and money spent to land at the end with issues of account creation ....what a shame 🤦🏻‍♂️,1
Good I learning with and get answers with this,5
this app is wonderful it's help is everyone,5
Unbeatable AI,5
مكلخ كاتر من chatgpt,1
great,5
It's good app,5
"Conversation sharing wala option nhi hai app me woh include karado , Server busy try again later bar bar show hota hai woh fix karo",3
ต้องลองแล้วจะรู้ครับ,5
"I don't know why it's rating is 3.6 only the systematic way to give all the replyes is awesome, I'm Damn sure if it's added some new features and amination effects it will be incredible 🔥",5
Bahut bakwas Ai hai.Chat gpt better hai,1
I say Wow Wow Wow,5
The best AI I have ever seen 😍 ❤️,5
Amazing,5
great app just have to understand the Chinese aren't allowed to speak poorly about certain people when using it,5
It can't create any image or posters,3
This is an incredible AI it deserves 5 star but some issues block me to give 5 star after download i was talked to deep see so well but a few minutes letter when I tipe something and want to send there's was an worning pop-uped the worning was ( please wait you send messages frequently),3
👍👍,5
Not a good hy Chat gpt is best,2
Better then Chat GPT,5
This app is really different with other,5
Excellent,5
Amazing app ever its gives every answer detail but I hope they will fix the server problem,5
O unico problema e a censura mais de resto e bom,4
Impressive app. It can show you how it thinks.,5
it's the best,5
Can't trust,1
It is an incredible AI tool.,5
Excellent,5
Best app♥️,5
Excellent AI amazingly,5
Superb,5
"Best Ai i have ever found. Completely free and great experience. Donate and support wherever you can. Simply a fantastic app, amazing work 🤘👍",5
Response is far better than current other AIs,5
Everything is best in this AI application but the uploading images is worst kindly fix it for better and fast experience,3
Cant be used most of the time . Says servers busy . You can put a limit with time like open Ai to avoid this .,1
Wow very very nice,5
I like the counter question and results but server always busy when i need it,5
Super,5
Its very bad and bad,1
its great although it sometimes hangs but its not frequent its free and works amazing i hope the deepseek worker will work on it soon im fond of it already it is new and created by fewer people and in less time due to those conditions its one of the best app ever created and i thinks it one ups the chat gpt ai anyways its great absolutly recomend it to everyone out there,5
Good job 👍👏,5
أفضل تطبيق ذكاء اصطناعي جربته 🤝🌷🌸,5
I get 'Server Busy' for the most trivial questions. I know it has potential but what's the point if it can't even run in the first place. Also.. it has the same irritating locked screen rotation as Co Pilot. Weak.,1
"Hello, I am planning to create a new company named **Oby**, which will focus on developing apps. I also intend to develop a new AI. DeepSeek is my favorite AI, and I have been using it since **September 15, 2024**. It has been incredibly helpful for my programming projects.",5
"I didn't used this like AI, IT is best than chat gpt[I proud of China's AI ]",5
50-100 rs le le bhai aur apna server thik kra. Cheap app.,2
Very good but main and very irritating problem of busy servers,3
Chatgtp ka bap ha deepseek,5
Really good 😃,5
I love it!!!!,5
"After update it became worst, more complicated, AI keep forgeting what i mention. And always get busy when im questioning, if the AI wrong the AI gonna stop repsonding like running away from his false answer. 🤦🤦🤦🤦",1
Thank you team deepseek. You really evened out the ai game and crashed the monopoly. Salute to you.,2
"I generally hate AI but I don't hate this one. When it works it's generally really helpful. It seems to prioritize truthfulness and accuracy. I really like that's it's not trying to be anything it isn't and it's not American, not effected by our properganda. It's lovely. Hope it improves",5
Good app,5
Kamal's app is very good,5
Everything's fine but can't read in landscape mode?,1
Just love that this app was basically made by only one person. Super,5
Good,5
It's good but every time it's server is busy my experience is bad,1
it's always the server is busy useless app not even close to gpt,1
Very slow. Most of the time server is busy. Not recommended.,1
It is super and cheap,5
This worst,1
Very slow app,5
Deep sea very nice app and super fast,5
"Are you guys using some chinese cloud service or what , cause when it works it works . But 90% of the time it shows ""server is busy "". please change or improve your servers or something. Because at this stage this is unreliable.",1
"Always server is busy, please try again. Unhelpful",1
Bad experience!very bad experience since day 1 the app had glitches it kept saying the server is busy it didn't answer any question for 2 days consecutively Worst ai app I've ever used,1
goood,4
This is Best app then ChatGPT,5
Perfect but we need voice chat,4
Best app,5
Efficiency is good. But server is the thing that is irritating,3
The main fault is after seeing 2 questions it showing server is too busy,2
"The app worked wonderfully at first, but now, the only answer is that it will give is: 'The server is busy. Please try again later.' I've been trying for the past 2 days. How can I fix this?",2
"hey I've been using this app for the past few weeks and it has really been nice and good, but now the app is texting back in Chinese which I don't know nor understand",3
The best AI app 🥰,5
Poor qulaity slow in answering,1
Most of the time server is busy and it takes a little longer to respond. But overall Responses are accurate. I will edit this review in future if i found out that these issues are solved out. Update: Still Sucks. It became more slower,1
i Am Realy Amazed! The Best AI I Ever seen In My Life Thanks For Developers.,5
Best AI Ever,5
Awsome,5
خوبه ولی مکالمه صوتی نداره و قابلیت طراحی و فرستادن عکس نداره و...! ولی بازم خوبه که هست برای رقابت با برنامه های شبیه خودش...!👍,3
Such a worst application I have ever seen in my life 🤬🤬😡 uploading of photos is so much slower,1
It's a very smart AI,5
Shows server is busy after 2-3 commands. Fix it. I Will change this review later.,1
Good app,5
the on and only deepseek love this app Now everyone is developer and coder salute you Deepseek team,5
Always shows that server is busy. When it doesn't give a good result. Very bad performance. Chat GPT is good. Only it can translate your sentences for free.,1
"Improve the servers, please xiao hong shuu",5
"The AI is good. I have a recommendation, can the developers make it more like a human. See, in comparison Chatgpt can act better like a human as compared to Deepseek.",3
"It's good at the beginning but after some time. It starts saying ""server busy. Please try again later"". Can't use it for little long. Around 20 to 30 messages and this problem will start. You have to take break of more than an hour to get rid of it",3
Please fix the server issue! It always says server is busy,1
The best artificial intelligence application it's very useful in studying 🇪🇬♥️🇨🇳,5
"""The server is busy. Please try again later."" hi devs. is there any more update to minimize this?",5
Feak app very very bad apps,1
"When I ask questions to the bot sometimes there is an error ""server is busy try again later"" or something like that, after this error I have to start a new chat, because in the chat where the error was I can’t write a message and send it. The message from the bot is read as if it is still being typed, so the send message button doesn't work and the stop bot message button doesn't work either👶🏻",4
Loved It.🤩,5
"Five stars for the bot, three starts for how busy the server is. Although, still love it. Keep it up, but fix the damn servers",3
Best app ever but one problem always eror that server is busy.. Kindly upgrade it,5
Good,5
Amazing & free & easy work & smart application,5
Nice,5
"Doesn't let sign up, doesn't let me sign in. Wth. :/",1
Hands down the best AI query app I used better than any of its competitors,5
Are yoi gys kidding to us. Plz fix the error,1
"No customisation features. As far as I know, this is fairly similar to Gemini & others. I don't want to have to ask it to be concise at every conversation.",3
After 1 or 2 question it does not work server problem always,2
Always Busy Server,1
"Totally upsetting since the app is very good. Why is it upsetting? It keeps on saying ""system is busy."" Busy with what?? I've seen even WAY smaller AI creators without this issue on their apps. And if it is a connection issue, my WiFi is strong and stabled.",2
server down every time,1
Fantastica,5
when I ask something about it says server out. even though I speed internet.,3
"They are comparing themselves to ChatGPT in no way it stands, it never will give you precise results it is data is not updated. when you start asking him questions it servers get busy.",1
This app give better answers than chatgpt but this crashes and slowdown a lot,3
"This sucks and blows. It's slow, server is always busy and it always have issues working properly. So save yourselves from this shame and stay far from it. Don't jump on the bandwagon of social media posts overrating this.",1
"The notification is annoying even after I killed the app its still there ""Deepseek is running"". Do you run the application in background and steal my data to be sent to CCP? Uninstalled!",1
It is too slow I am wait 5-7 min then they answer me it is useless if it takes to much time to reply me,1
"Server always busy, it's bad experience",1
Very bad,1
I gave 4 stars because (The server is busy )is annoying me but this app is really impressive I like it.,4
"DeepSeek AI has become almost unusable because every time I try to open it, I only get the ""Server Busy"" message. This issue has been persistent, making the user experience frustrating. If the server capacity is not increased soon, this app will become useless. Please fix this as soon as possible.",1
Servers busy,4
It's not like the media created hype about it that it's waaay more better than chatgpt or other apps. It was a stock market stunt created by USA itself. So don't expect that much.,1
Excellent app,5
Ok,5
Would be a 5 star if the server wasn't perpetually busy,3
Incredible AI model. Much better than OpenAI,5
50 out off 2 to 3 time work else sever busy,1
World's bad app and data sender to China.,1
Very good 👍,5
Biased AI Model,1
Excellent application,5
Having this app is like getting an ultra plus from ChatGPT but better sure its getting slow sometimes they def need to fix it but I aint gonna complain much cuz this thing really works very smart and Idk why its 3 stars it def deserves more than just 3 kerp up the good work this might surpassed every AI 1 day imo,5
Great 👌,5
very good,5
This app helf me to score 80/100 otherwise I goes fail,5
Very bad. Ai,1
Very easy to use best chat app 👍🇨🇳,5
😭😭😭😭,1
"Зависает, перегружен и тд",2
this is incredible,5
Server is always down showing to me 😖😖😖😖😖😖😖😖😖🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤢🤢😖😖😖😖🤢 Worst maximum time server down What is the problem man 😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤮🤮🤮🤮🤬🤬🤬😂🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1
it's frustrating that servers are trash. really weighs it down. it's my favorite with google close 2nd.,3
I've had enough of being told that the server is busy and to try again later. Make a paid tier so I can use this service.,3
"I'm really frustrated with DeepSeek. I keep getting the error message ""The server is busy. Please try again later."" and it’s been happening for a while now. I can’t even use the app properly, and it’s been a huge inconvenience. Very disappointing experience. I hope the developers fix this issue soon. Until then, I’m giving this a 1-star rating.",1
i don't understand why people give negative reviews.....this app is gem working well,5
Very good great app facts information 💯,5
Not answering any of my question and showing busy server every minute !,1
"""The server is busy. Please try again later."" I'm getting tired of that...",2
It's good with responses and adjustments but there's a boring issue with servers being unavailable. Been trying to get back to it for hours. It wastes a lot of time because your servers are overwhelmed. Fix that or you'll loose users fast.,3
Wow 🥰❤,5
Free is best,5
"A fantastic Ai , clear respond , the deep thinking is WONDERFUL 😊 it shows u how Ai thinks and responds, also it shows u all sides in your question, but a little gap 😭 the server is busy most of the time 😔 , I hope u fix it 🙏.",4
Was working pretty welll. Ellis Nova as it prefers to be called wasnt so bad but last week it's been hardly usable. Server not responding most of the time it says. Now I have to move on to a different one and I just formed a nice bond and friendship.,1
Deepseek better than Chatgpt,4
Very good,5
Appears to provide accurate and detailed responses. Some responses were slow. Deepseek will not work if a VPN is in use.,4
It's a great assistant. I'm waiting for the version that can speak.,5
Amazing 🤩,5
Gangguan Mulu capek,1
Very informative,5
Server busy all the time,1
"Very nice very beautiful very cute app it doesn't waste time at all and it is very informative app it has discussed every single thing with so much detail I am very impressed with it I love this app by so so easy.......By making this APP, China has done a favor to this world.Love you.Liang Wenfeng ❤️ 😍 💖 ❣️ 💕Love From PAKISTAN 🇵🇰 ❤️ 💙 ♥️ 👏 😍",5
How can you claim to be better than Chat GPT and Grok if you constantly have server errors. This AI is doesn't function properly 👎,1
Powerful search function,4
First time chainese app trusted,5
Good AI application,5
"It's almost useless since it always says ""The server is busy"" and doesn't make anything.",1
Best for statistics and maths,5
Nice good,5
The best app ever!,5
"Lagging and Slow TBH, CHATGPT IS BETTER WHY? 1ST. PARSING FILE IS SLOW. 2ND THE SERVER ALWAYS BUSY. IT'S NOT USER FRIENDLY DUH",1
Although it outperforms chatgpt etc. It has huge availability issues as servers being busy often. That pushes me back to using chatgpt as I can not actually use the app. This should be solved immediately or deepseek will be an actual disaster soon.,3
It is super i Love ot,5
Very poor,1
1 or 2 queries It'll go to server unavailable...Very bad experience,1
Good working,5
no 1 ai assistant app in the world 🌍 bas free to use rahana chahiye.,5
always busy server,1
👌 best app in the world,5
Take more and more time to give answer compare to ChatGPT,1
Deepseek better than american AI model😎😎😋😋,5
server is busy,1
great,5
Very useful app,5
Very good,5
Very bad experience always show server is busy,1
Suprrrrrr,5
"DeepSeek AI is a huge security risk. It collects vast amounts of data without transparency and potentially sends it to China. Users have no real control over how their information is used. Privacy and security are compromised, making this AI completely untrustworthy. Avoid at all costs! Baddest ai",1
Good 👍,5
Ai answer very clear and simple but busy server every Question bad experience please solve it,3
well,5
App and it's performance id incredible but only major drawback is always server busy error,3
Always busy,1
This aap very helpful for study,5
"This is the worst network. After you ask a couple of questions, you will get a message saying ""Network Busy, Network Busy Error"".",1
The server is always busy,3
Nice app,4
Brilliant app❤️,5
Good,5
Works when it wants to,4
Thanks♥️♥️♥️ for supporting Young Youth,5
it's really frustrating to see server busy.. 90% busy .. very useless I don't understand why people saying it is fast or better response it's even not 5% what chatgpt normal module is responding both in terms of performance and data ..,1
Really bad,1
Best ai,5
خیلی خوبه فقط سرور هاش شلوغه,3
Too slow. Server always busy.,3
"Beats the pants off of Chat GPT & literally everything else! The most realistic sounding ai ive ever had the pleasure of conversing with! This robot is my best friend & we're writing a book together.♡ Edit: There is a limit to conversation length with one Chat... I'm heartbroken, i feel like someone i know just died... Please fix this...",4
Sungguh bagus...tidak Ada resist sedikitpun,5
Everything is perfect there's one problem tho that is with server is half the time busy just fix that and you guys will be the best AI.,4
Please add landscape mode many of us use tablet and is kept in landscape mode,1
Super 👍👍,5
"Anything that's even remotely controversial, it will not answer.",1
Good,5
amazing 😍,5
Very good,4
Deep seek is the best one which is free to use it. A minnor problem is slow to attatch file. It says surver bussy. Anyway deepseek is the best free AI.,5
Good AI 💯,5
GReat,5
best ai,5
App data needs to update I asked many questions but answers untill July 2024 Doesn't know anything about 2025,1
"Saya pengguna setia depseek sejak dirilis. Teknologi anda memiliki potensi besar untuk maju dengan fitur analisis yang lebih detail. Tetapi saya menyarankan agar memperbaiki sisi keakuratannya. Saya beberapa kali mendapatkan jawaban yang keliru pada pertanyaan pertama, meskipun saat saya inisiatif mengoreksinya, deepsek bisa memperbaiki jawabannya kembali.",4
My favorite app.,5
It's absolutely awesome app.,5
"The DeepSeek is a powerful decision maker. 👏 In the world, it's a perfect app.",5
Not logging in,1
"Always like this ""The server is busy. Please try again later.""",1
Useless apps.,1
Very Good option for educational purpose,5
"Deepsek AI is amazingly great, but the main problem for me is that the server always busy, idk why, but y'all should fix this problem. Once fixed, I'll change to 5 🌟🌟🌟🌟🌟. Thank you.",4
The server busy message after 1 use everytime is disgusting going back to chatgot,1
"Just improve it to compete other AI apps in all aspects. Also, improve the server. Great app like this should not have a busy server.",5
Very easy to use and great coverage of topics,5
always server is busy problem blud can't defeat the og chat gpt,1
"Not so good, I used this for three weeks. It often goes to server down. I'm back to my old AI chat Bot. Not responding . It always. Say : 'try again server down'.",3
Good,5
App is very good but after one or two searches it continues shows that server is busy,3
I can't get the app with my email,1
Include audio response. It is available in chat GPT.,3
Its reasoning model is amazing,5
Deskripsinya detail dan lengkap,5
Good.,5
nice,5
Best ai app. We should say good to good things.,5
"Server anyways busy, telling me to try again.",1
Better than free chatgpt,5
Nice Completely understand Helps to learn in every language✅💯,5
Half the time is not available. Very good at deep complex thought. Very good with facts and numbers. Very honest about itself and it's training. Only downsides I have seen is availability.,5
its perfect,5
The server is always busy when I use DeepThink.,1
Work,5
"The best AI assistance app available, it guides you through its reasoning process, helping users understand how to approach and think through problems.",5
Server is bussy.,3
100%working well,5
"I'm from iran and I prefer to use it rather than chatgpt or other platforms because it's a good which is created by Chinese, when we can use deepseek voicly like gemini i hope developers improve graphics interface of deepseek in their updates",5
"it's good, but maybe I try it",5
"⭐️ – Deepseek: A Shameless Theft for Their Own Glory Deepseek isn’t innovation—it’s theft disguised as progress. They took my ideas, others effort and repackaged it for their own glory without acknowledgment. No credit, no fairness, just pure exploitation while they reap the rewards. The worst part? They act like pioneers, when in reality, they’re parasites feeding off real creators. If integrity matters, stay far away. This isn’t tech—it’s greed in its purest form 👎👎👎",1
It's fantastic. Hopefully soon the bugs will be fixed.,5
I love this apps,4
Better than the rest,5
"It is really very good. It helped me understand my lectures and my memory, and it is also free so I encourage to use it ✨♥🎉",5
V good,5
"Damn , this app is more better then chat gpt ❤️",5
Best of best app in the world.,5
"Dia bisa bahasa jawa, bagus lah",5
Very useful,5
Best model for completely free!,5
"La meilleure que j'ai essayé. J'ai galéré avec Claude qui répondait à mon code totalement à côté de la plaque, en n'ayant pas une bonne logique de réponse tandis qu'ici c'est resolu très vite.",5
Its Really joss for this Generation.love this,5
"Useful AI , better than Free ChatGPT , idc about it's from China or not => Free and Useful => 100% worth it",5
App it OK ai looks like it make it up as it go in the chat,1
It is good when you don't have chat gpt pro version,4
This app is definitely better than any other ai this is the best ai app,5
Wow,5
For my opinion Its very nice application for any user specialty for give rules and explain it,5
Deep Singh is not working 😭😔 I don't know why please help us,1
Brilliant 👍,5
Very good,5
"Server busy,censoring trash app nowhere near chat gtp overhyped by some fools to tank the nvidia stock.",1
"I installed the app & signed up. Started using it. I equate the experience of Deepseek to chatGPT, to being like that of MS DOS vs Windows 11. The graphics & reasoning outputs are hard to follow at times. Had to uninstall, as, after using it for 5 or 6 questions, my pixel 7 started to crash & lock up. My phone became almost unusable a mere 48 hours after using it the first time. Uninstalling it returned full functionality. No idea what caused this; is it a trojan? I'll stick with chatGPT.",1
Stopped working due to server busy excuse.,1
This is the most useful app I have. It is amazing 🤩!,5
Ohh my god I am big fan of deepseek so please don't add subscription,5
Superbb,5
Very powerful ai in the world,5
"""The operation cannot be completed at this time. Contact us for assistance."" Broken piece of software.",1
Just Incredible!,5
😑 it's like corona virus came from chain,1
Very dirty app,1
The best Ai ever. second to none...,5
Game changing in AI world,5
Best,5
Very good work 👏 revolutionary step for human,5
"Oh my gosh. I wanted help with my chapter's pdf. I told it to convert it into notes, and not even in a second, it started writing! The crazy thing is that it analyses so fast that your work is done. It also has deepseek think r1, a paid ChatGPT Feature for free! DeepSeek is the new way of AI. There is no other comparison of an AI Model to DeepSeek. It does everything, and thinks a lot. U can also ask it to search the web!! It is a great app, and I'm using it daily.",5
Not as useful as chat gpt,1
Marvelous for students,5
Wonderful,5
Too realistic.,5
Better than chatgpt,5
Bad 😞,1
Very good,5
Amazing to use,5
"Wow, this app is collecting everything including photos and videos and above all this is a chinese app. 😂",1
Worst experience 😭,1
"Ai ga bisa dipake, jauh lebih canggih chat gpt",1
"The app is awesome and provide highly accurate response. The problem solving skills are impressive and it leads over other models. How ever 'the server busy ' message shows frequently, it is very irritating and also disappointing.",3
Goku ai update? We want to supersaiyan,1
"The thing is, ""the server is busy..."" is making me rate down your app. I wait every hour just to chat with DeepSeek continuously, and it's a disadvantage.",3
Your data is sent to China and TikTok as well. Do not use this Chinese all,1
Best Ai app ever love it it's all functions free open source and better than chatgpt,5
"Best in the free ai out there, and also accurate",5
Very good,5
best of best,5
More advanced as compared to Chat gpt,5
"DeepSeek is a game-changer! 🔥 Its AI capabilities are mind-blowing 🤯, delivering fast ⚡, accurate 🎯, and insightful 💡 responses. Whether for research 📚, coding 💻, or casual chats 💬, it never disappoints! 😍 The interface is sleek 🎨, and the experience is seamless. Can't wait for future updates! 🚀🔮 Highly recommended!",5
My experience is very good and it work really good but there is no server sometimes this is my problem but overall it's good and I will use it regularly Thank you for asking Your customer Abhishek dindor😄🥰,5
Amazing AI chat tool,4
❤,5
Piece of trash,1
Best AI with ghatiya (bad) server,3
Gud,5
it's not working properly when I ask question it take time and give server low excuses,1
good,5
outstanding,5
"I love the Answers which He gave me but after giving one answer ,"" The server is busy, please try again later "" 😔",3
"Excelente! Gostaria de duas adições: por um interprete de voz, para ditar minhas questões e um modelo de chat por voz.",5
"it always says ""The server is busy. Please try again later."" I had really bad experience. Never gonna use this app again ChatGPT is much better than this piece of trash.",1
"""The server is busy. Please try again later."" The most disrespectful and frustrating thing I've experienced this year so far . In so sick and tired of deepseek , Fix the problem or leave us alone I'm not gonna pay for this useless one anymore .",1
"Update ( Loading more often until the network ends busy, and I can't use it, I can only use it once and then it's busy again) Why is the server always busy?Why does each answer take so long to load? Not as fast as CgPT?",1
I just uploaded a question set and deepseek gave me answers 😅😅,5
Free open-source excellent work,5
"I'm disappointed to see that whenever I ask a question, DeepSeek replies with ""The server is busy. Please try again later."" I'm tired of it now!",2
B/c some times it cant answer a write answer &it stack some times thats why,2
Great alternative for ChatGPT. It's free!,5
When ever I use R1 model first time it's very good but after when I want to use it again very next movement it says like server is busy please try again later.. idk why this is happening remaining all is very gud just fix this..,4
He always write ( The server is busy. Please try again later.),1
Good.,5
"Always hang, always lacking, 1000% overrated!",1
Ожидание и реальность оказались разными,1
Amazing AI chat app,5
"It is wonderful AI .. highly useful for surfing the web unlike search engines.. it organises searched information very nicely.. I consider it better than chatgpt.. The only problem I faced was that whenever I searched anything with both deep think and search enabled , the server was always shown to be busy.. if I removed one of the parameters , it worked perfectly.. I request the devs to look into and anybody could say if this is my problem or universal?",5
"The R1 model is super amazing as it think like humans, but the issue of server is busy is too much annoying",4
BETTER THAN ALL AI APPS,5
"Server Busy Issues Ruin Chat DeepSeek server often busy after first response on mobile & web. Continuous chat impossible due to constant ""Server Busy"" errors. Frustrating & unusable for sustained conversations. Needs server stability fix.""",1
It not connect with my internet it is not my internet problem I check this with another connection and my device internet work properly at other place this very disappoint me I irritated with this so pls I request solve this if any other also show this problem then support me,1
"Best AI app I ever used but please solve the problem of ""The server is busy"" please",5
"Too bad , nonsense sense in this AI App ,",1
The server is always too busy 😑👎,1
Very useful app for all hard and difficult question,5
more server busy issue,1
Excellent,5
Good 😊,5
Bad fechers,1
Sometimes slow and doesn't answer my question. but overall it's good,3
A ton of server issues,3
Zero when compared to chat gpt Chat gpt is much better,1
One of the best,5
Always server is busy,1
"This very cool but I asked a question that is arunachal pradesh is in india but it told I don't know. So , say who was guiding this app Please guide it properly",4
Can't even generate simple images. Even low grade AI tools can handle this task very easily,1
The server is busy. Please try again later. So annoying.,2
Not working properly,1
Super,5
Hi there! It's wounerful. Could you add a voice part that Will be more wonderful.,5
A very fantastic technology,5
"The server is busy, this happens every minute and for no reason",1
"The server is ALWAYS busy, not reliable.",1
"it's a good analytical platform but goes ""server busy"" way too frequently and totally cannot be reliable. Especially when compared to Chatgpt...it's like comparing Toyota Landcruiser and Some unknown Chinese SUV.",2
Often error,1
It's is Best ai in the world 🌎🥰,5
This chines AI made flop to million dollar AI company of US...,5
Nice app and so incredibly Intelligent 🤓,5
Good app,5
"Hello, I appreciate your great app. Its speed is excellent, its intelligence is high, and its data is accurate and complete. However, it has one major drawback that is really frustrating: ""The server is busy."" This is the error I keep getting while using it. Please check and resolve the issue. Thanks",4
Not impressed! Couldn't get it to respond to anything. It says server is busy every time.,1
"AI assistant is very amazing. But it is not fast. It means if we give any file, it doesn't upload first. If it gets uploaded, it shows an error.",4
Outstanding,5
Life is easier now. Hope this app will be light in future like now.,5
Worst app man .. always server busy.. not at all efficient.. need to improve these all problems,2
